name,organizer_facebook,organizer_name,organizer_website,organizer_twitter,first_performer,second_performer,timezone,id,start_date,start_time,end_date,end_time,summary,city,country,region,localized_address_display,postal_code,street_address,latitude,longitude,images,listing_url
Mixto Festival 2022,umanotaculture,Uma Nota Culture,http://umanota.ca,@umanotaculture,,,America/Toronto,288177014207,2022-07-07,20:00,2022-07-10,23:30,Mixto Festival is back for 2022!,Toronto,CA,ON,"260 Emerson Avenue, Toronto, ON M6H 2A7",M6H 2A7,260 Emerson Avenue,43.667671,-79.44462299999998,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F264663449%2F56753852359%2F1%2Foriginal.20220411-162915?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=610cf177a60724578726431fc08ca95a,https://www.eventbrite.ca/e/mixto-festival-2022-tickets-288177014207
Empire Rockfest - The Glorious Sons + The Blue Stones + Jake Clemons Band,,The Empire Theatre,https://theempiretheatre.com/,,The Glorious Sons,"The Blue Stones, Jake Clemons",America/Toronto,322684597317,2022-07-16,19:00,2022-07-16,23:30,Empire Rockfest - The Glorious Sons + The Blue Stones + Jake Clemons Band,Belleville,CA,ON,"353 Front St., Belleville, ON K8N 5M5",K8N 5M5,353 Front St.,44.167961,-77.385773,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F268513179%2F266624675939%2F1%2Foriginal.20220418-171026?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=79f053add0342eb7c92a17e438f8e878,https://www.eventbrite.ca/e/empire-rockfest-the-glorious-sons-the-blue-stones-jake-clemons-band-tickets-322684597317
Buckcherry Live In Guelph,TheDiamondMineAgency,The Diamond Mine Agency,http://www.TheDiamondMineAgency.com,diamondXmine,Buckcherry,,America/Toronto,315642383867,2022-06-28,19:30,2022-06-28,22:30,Buckcherry Live In Guelph June 28th @ Guelph Concert Theatre,Guelph,CA,ON,"166 Wyndham St N, Guelph, ON N1H4E8",N1H4E8,166 Wyndham St N,43.5475501,-80.2512689,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F264677679%2F299947132686%2F1%2Foriginal.20220411-164202?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=171%2C0%2C630%2C315&s=2fea8a1bc5597c1968edc34cd7a9a9fd,https://www.eventbrite.ca/e/buckcherry-live-in-guelph-tickets-315642383867
Go North Music Festival 2022,GoNorthMusicFestival,Richards Landing Events Committee,,,,,America/Toronto,267795713187,2022-07-08,19:00,2022-07-09,23:30,Welcome Back! The Go North Music Festival 2022 is going to be amazing. Join us!,Richards Landing,CA,ON,"1511 Richards Street Highway 548, Richards Landing, ON P0R 1J0",P0R 1J0,1511 Richards Street,46.2794,-84.0308,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F252983739%2F199059200304%2F1%2Foriginal.20220323-133542?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=49a4253df38fdbe01f4a21bea0792da7,https://www.eventbrite.ca/e/go-north-music-festival-2022-tickets-267795713187
ABC,,The Sousa Group,,,,,America/Toronto,248776044847,2022-07-04,19:00,2022-07-04,23:00,ABC and Martin Frye are synonymous with the 80's sound that has brought many generations to  continuosly discover their musical style,Toronto,CA,ON,"464 Spadina Avenue #462, Toronto, ON M5T 2G8",M5T 2G8,464 Spadina Avenue,43.657591,-79.4001992,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F215686529%2F329081349551%2F1%2Foriginal.20220120-201911?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C135%2C4038%2C2019&s=b528cc081942059939ec704ab6b00d27,https://www.eventbrite.ca/e/abc-tickets-248776044847
Jab Jab J'Ouvert 2022,,@416andthecity,http://www.416andthecity.com,@mmoneybag,,,America/Toronto,166795695415,2022-07-29,22:00,2022-07-30,04:00,"Jab Jab J'Ouvert 
Glow Edition 
Come Clean & Leave Dutty!
This is our 10 Year Anniversay !
10 Years Of Doing the Biggest event in Canada!",Mississauga,CA,ON,"1515 Britannia Road East, Mississauga, ON L4W 4K1",L4W 4K1,1515 Britannia Road East,43.6572744,-79.6488948,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F232237079%2F214568300341%2F1%2Foriginal.20220217-224248?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C276%2C640%2C320&s=cc8b0eb4dc42f0d22b8dfaceeb522ed9,https://www.eventbrite.ca/e/jab-jab-jouvert-2022-tickets-166795695415
Redstone Winery Presents Matt Mays in the Vineyard,RedstoneWinery,Redstone Winery,https://redstonewines.ca/,RedstoneWines,Matt Mays,,America/Toronto,332015656767,2022-07-07,19:00,2022-07-07,21:30,Join us as we welcome indie rock singer-songwriter Matt Mays to our stage for live music in the vineyard.,Beamsville,CA,ON,"4245 King Street , Beamsville, ON L0R1B1",L0R1B1,4245 King Street ,43.1596,-79.4373321,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F276983719%2F289963569538%2F1%2Foriginal.20220502-173815?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C0%2C1998%2C999&s=b67bc2f580c1bfda73f6bb2f5b769c10,https://www.eventbrite.ca/e/redstone-winery-presents-matt-mays-in-the-vineyard-tickets-332015656767
UP2SUM OPEN MIC | 8PM START,LOUD.army,LOUD.army,http://www.LOUD.army,@LOUD_army,,,America/Toronto,322853221677,2022-07-07,22:00,2022-07-08,02:00,"At UP2SUM we create the perfect conditions for artists, producers, and fellow creatives in the underground music scene to connect and build",Toronto,CA,ON,"254 Lansdowne Avenue, Toronto, ON M6H 3X9",M6H 3X9,254 Lansdowne Avenue,43.6511369,-79.44031369999999,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F299490499%2F258238985146%2F1%2Foriginal.20220608-153636?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C230%2C5100%2C2550&s=52264b3ab4fa77a40b817a51677963c6,https://www.eventbrite.ca/e/up2sum-open-mic-8pm-start-tickets-322853221677
Empire Rockfest - Headstones + The Tea Party + Crown Lands,,The Empire Theatre,https://theempiretheatre.com/,,Headstones,"The Tea Party, Crown Lands",America/Toronto,322679893247,2022-07-15,19:00,2022-07-15,23:30,Empire Rockfest - Headstones + The Tea Party + Crown Lands,Belleville,CA,ON,"353 Front St., Belleville, ON K8N 5M5",K8N 5M5,353 Front St.,44.167961,-77.385773,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F280036669%2F266624675939%2F1%2Foriginal.20220506-151240?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=fc7f7280365e0586b647fda318278dec,https://www.eventbrite.ca/e/empire-rockfest-headstones-the-tea-party-crown-lands-tickets-322679893247
ALL WHITE BOAT RIDE,,CARNIVAL TO EVENTS,,,,,America/Toronto,228588082107,2022-07-30,22:00,2022-07-31,03:00,Toronto Carnival Saturday Night All White Boat Ride,Toronto,CA,ON,"11 Polson Street, Toronto, ON M5A 1A4",M5A 1A4,11 Polson Street,43.640897,-79.3545934,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F206335859%2F212477647501%2F1%2Foriginal.20220102-025052?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C649%2C2000%2C1000&s=8e1bb4cee17b2ebec0ef2f77ae5602d2,https://www.eventbrite.ca/e/all-white-boat-ride-tickets-228588082107
Hawksley Workman  - Live at Quiet Earth - with special guest Marty Kolls,,Brent Jones,,,,,America/Toronto,337542196797,2022-07-06,19:00,2022-07-06,22:00,"A rare chance to see some of Canada's most respected musical artists in an intimate, historic and serene natural environments.",Thames Centre,CA,ON,"1681 Hunt Road, Thames Centre, ON N0L 1G6",N0L 1G6,1681 Hunt Road,43.01019549999999,-81.00674859999998,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F282345549%2F261854436379%2F1%2Foriginal.20220510-214533?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C87%2C2450%2C1225&s=b916bbcc107a69f19b606430bc5459af,https://www.eventbrite.ca/e/hawksley-workman-live-at-quiet-earth-with-special-guest-marty-kolls-tickets-337542196797
